

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.005  000.005: --- NVIM STARTING ---
000.099  000.094: event init
000.210  000.111: early init
000.253  000.044: locale set
000.335  000.082: init first window
000.760  000.425: inits 1
000.768  000.008: window checked
000.803  000.034: parsing arguments
001.132  000.052  000.052: require('vim.shared')
001.207  000.027  000.027: require('vim._meta')
001.208  000.075  000.048: require('vim._editor')
001.209  000.151  000.025: require('vim._init_packages')
001.211  000.257: init lua interpreter
001.249  000.038: expanding arguments
001.285  000.036: inits 2
001.502  000.217: init highlight
001.503  000.001: waiting for UI
002.287  000.784: done waiting for UI
002.298  000.011: init screen for UI
002.420  000.122: init default mappings
002.434  000.013: init default autocommands
002.781  000.042  000.042: sourcing /usr/share/nvim/runtime/ftplugin.vim
002.813  000.017  000.017: sourcing /usr/share/nvim/runtime/indent.vim
004.344  000.387  000.387: require('lvim.core.log')
004.352  000.602  000.215: require('lvim.utils.modules')
004.357  001.405  000.803: require('lvim.bootstrap')
015.993  009.624  009.624: require('lvim.impatient')
016.249  000.033  000.033: require('lvim.utils')
016.254  000.253  000.220: require('lvim.config')
016.372  000.051  000.051: require('lvim.utils.table')
016.375  000.092  000.042: require('lvim.lsp.utils')
016.429  000.053  000.053: require('lvim.icons')
016.431  000.176  000.030: require('lvim.config.defaults')
016.657  000.063  000.063: require('lvim.keymappings')
016.665  000.005  000.005: require('vim.keymap')
016.942  000.061  000.061: require('lvim.core.builtins')
016.980  000.034  000.034: require('lvim.core.theme')
017.050  000.067  000.067: require('lvim.core.which-key')
017.394  000.020  000.020: require('plenary.tbl')
017.398  000.045  000.025: require('plenary.vararg.rotate')
017.399  000.067  000.022: require('plenary.vararg')
017.419  000.019  000.019: require('plenary.errors')
017.443  000.024  000.024: require('plenary.functional')
017.446  000.168  000.058: require('plenary.async.async')
017.469  000.023  000.023: require('plenary.async.structs')
017.473  000.261  000.070: require('plenary.async.control')
017.707  000.027  000.027: require('plenary.bit')
017.727  000.013  000.013: require('ffi')
017.737  000.107  000.067: require('plenary.path')
017.742  000.137  000.030: require('plenary.strings')
017.763  000.021  000.021: require('telescope.deprecated')
017.947  000.120  000.120: require('plenary.log')
017.959  000.159  000.039: require('telescope.log')
018.051  000.045  000.045: require('plenary.job')
018.076  000.023  000.023: require('telescope.state')
018.082  000.121  000.053: require('telescope.utils')
018.087  000.323  000.043: require('telescope.sorters')
018.126  000.032  000.032: require('vim.inspect')
018.453  000.004  000.004: require('vim.F')
019.655  002.100  001.583: require('telescope.config')
019.741  000.032  000.032: require('plenary.window.border')
019.764  000.022  000.022: require('plenary.window')
019.788  000.022  000.022: require('plenary.popup.utils')
019.790  000.132  000.056: require('plenary.popup')
019.818  000.027  000.027: require('telescope.pickers.scroller')
019.845  000.026  000.026: require('telescope.actions.state')
019.870  000.024  000.024: require('telescope.actions.utils')
019.926  000.027  000.027: require('telescope.actions.mt')
019.939  000.068  000.041: require('telescope.actions.set')
019.994  000.029  000.029: require('telescope.config.resolve')
019.996  000.056  000.027: require('telescope.pickers.entry_display')
020.017  000.020  000.020: require('telescope.from_entry')
020.140  002.666  000.213: require('telescope.actions')
020.256  000.084  000.084: require('telescope.make_entry')
020.353  000.027  000.027: require('plenary.async.util')
020.354  000.049  000.022: require('plenary.async.tests')
020.356  000.075  000.026: require('plenary.async')
020.357  000.100  000.025: require('telescope.finders.async_static_finder')
020.434  000.021  000.021: require('plenary.class')
020.506  000.122  000.101: require('telescope._')
020.509  000.151  000.029: require('telescope.finders.async_oneshot_finder')
020.540  000.030  000.030: require('telescope.finders.async_job_finder')
020.544  000.402  000.037: require('telescope.finders')
020.721  000.061  000.061: require('telescope._extensions')
020.724  000.099  000.038: require('telescope')
020.790  000.063  000.063: require('telescope.debounce')
020.915  000.123  000.123: require('telescope.mappings')
020.961  000.043  000.043: require('telescope.pickers.highlights')
021.011  000.048  000.048: require('telescope.pickers.window')
021.085  000.038  000.038: require('telescope.algos.linked_list')
021.089  000.077  000.038: require('telescope.entry_manager')
021.133  000.043  000.043: require('telescope.pickers.multi')
021.153  000.608  000.112: require('telescope.pickers')
021.164  003.999  000.062: require('telescope.builtin.__lsp')
021.194  004.080  000.080: require('telescope.builtin')
021.236  000.040  000.040: require('telescope.themes')
021.317  000.043  000.043: require('telescope.previewers.previewer')
021.411  000.092  000.092: require('telescope.previewers.term_previewer')
021.544  000.023  000.023: require('plenary.context_manager')
021.650  000.031  000.031: require('nvim-treesitter.utils')
021.830  000.018  000.018: require('vim.treesitter.language')
021.838  000.055  000.037: require('vim.treesitter.query')
021.872  000.033  000.033: require('vim.treesitter.languagetree')
021.896  000.146  000.058: require('vim.treesitter')
022.052  000.402  000.255: require('nvim-treesitter.parsers')
022.287  000.049  000.049: require('nvim-treesitter.ts_utils')
022.292  000.092  000.042: require('nvim-treesitter.tsrange')
022.320  000.028  000.028: require('nvim-treesitter.caching')
022.332  000.182  000.063: require('nvim-treesitter.query')
022.350  000.255  000.073: require('nvim-treesitter.configs')
022.353  000.299  000.043: require('nvim-treesitter.info')
022.439  000.085  000.085: require('nvim-treesitter.shell_command_selectors')
022.463  000.897  000.080: require('nvim-treesitter.install')
022.496  000.032  000.032: require('nvim-treesitter.statusline')
022.534  000.037  000.037: require('nvim-treesitter.query_predicates')
022.536  000.991  000.025: require('nvim-treesitter')
022.542  001.050  000.036: require('telescope.previewers.utils')
023.631  001.088  001.088: require('plenary.filetype')
023.749  000.114  000.114: require('plenary.scandir')
023.807  002.395  000.144: require('telescope.previewers.buffer_previewer')
023.811  002.572  000.042: require('telescope.previewers')
023.814  006.756  000.064: require('lvim.core.telescope.custom-finders')
024.317  000.489  000.489: require('vim.diagnostic')
025.482  000.401  000.401: require('vim.lsp.log')
025.809  000.324  000.324: require('vim.lsp.protocol')
025.934  000.051  000.051: require('vim.lsp._snippet')
025.961  000.026  000.026: require('vim.highlight')
025.974  000.162  000.085: require('vim.lsp.util')
025.983  001.489  000.602: require('vim.lsp.handlers')
026.033  000.049  000.049: require('vim.lsp.rpc')
026.056  000.022  000.022: require('vim.lsp.sync')
026.107  000.049  000.049: require('vim.lsp.buf')
026.135  000.027  000.027: require('vim.lsp.diagnostic')
026.162  000.026  000.026: require('vim.lsp.codelens')
026.223  001.903  000.240: require('vim.lsp')
026.266  000.033  000.033: require('lvim.core.gitsigns')
026.305  000.035  000.035: require('lvim.core.cmp')
026.394  000.019  000.019: require('cmp.utils.debug')
026.451  000.036  000.036: require('cmp.utils.char')
026.455  000.060  000.024: require('cmp.utils.str')
026.476  000.020  000.020: require('cmp.utils.pattern')
026.549  000.024  000.024: require('cmp.utils.misc')
026.567  000.017  000.017: require('cmp.utils.buffer')
026.593  000.024  000.024: require('cmp.utils.api')
026.596  000.099  000.033: require('cmp.utils.keymap')
026.598  000.121  000.023: require('cmp.utils.feedkeys')
026.625  000.025  000.025: require('cmp.utils.async')
026.720  000.021  000.021: require('cmp.types.cmp')
026.815  000.064  000.064: require('cmp.types.lsp')
026.836  000.019  000.019: require('cmp.types.vim')
026.837  000.190  000.086: require('cmp.types')
026.858  000.020  000.020: require('cmp.utils.cache')
026.860  000.234  000.024: require('cmp.context')
026.934  000.026  000.026: require('cmp.config.mapping')
026.984  000.026  000.026: require('cmp.config.compare')
026.985  000.049  000.023: require('cmp.config.default')
026.995  000.109  000.034: require('cmp.config')
027.046  000.020  000.020: require('cmp.matcher')
027.049  000.053  000.033: require('cmp.entry')
027.053  000.193  000.030: require('cmp.source')
027.097  000.020  000.020: require('cmp.utils.event')
027.149  000.027  000.027: require('cmp.utils.window')
027.150  000.052  000.025: require('cmp.view.docs_view')
027.205  000.024  000.024: require('cmp.utils.autocmd')
027.209  000.058  000.034: require('cmp.view.custom_entries_view')
027.240  000.029  000.029: require('cmp.view.wildmenu_entries_view')
027.267  000.026  000.026: require('cmp.view.native_entries_view')
027.290  000.023  000.023: require('cmp.view.ghost_text_view')
027.295  000.241  000.032: require('cmp.view')
027.377  001.037  000.123: require('cmp.core')
027.537  000.024  000.024: require('cmp.config.sources')
027.559  000.019  000.019: require('cmp.config.window')
027.589  001.283  000.203: require('cmp')
027.715  000.022  000.022: require('luasnip.session')
027.751  000.035  000.035: require('luasnip.util.util')
027.772  000.020  000.020: require('luasnip.util.types')
027.815  000.021  000.021: require('luasnip.util.ext_opts')
027.817  000.044  000.023: require('luasnip.nodes.util')
027.836  000.018  000.018: require('luasnip.util.events')
027.841  000.173  000.034: require('luasnip.nodes.node')
027.920  000.021  000.021: require('luasnip.util.extend_decorator')
027.932  000.090  000.068: require('luasnip.nodes.insertNode')
027.960  000.027  000.027: require('luasnip.nodes.textNode')
027.984  000.023  000.023: require('luasnip.util.mark')
